rider_id,gps_accuracy_meters,accelerometer_variance,gyroscope_variance,wifi_ssid_count,is_spoof
4497,153.4,0.06,0.023,1,1
4498,4.3,1.602,2.141,4,0
4499,4.3,0.556,0.541,6,0
4500,14.3,2.427,0.596,11,0
4501,103.5,0.014,0.031,1,1
4502,247.8,0.051,0.026,2,1
4503,9.3,1.681,2.075,12,0
4504,50.4,0.012,0.032,2,1
4505,15.9,1.524,1.516,13,0
4506,135.8,0.026,0.023,1,1
4507,11.7,2.238,0.847,8,0
4508,282.3,0.015,0.036,2,1
4509,9.4,0.973,2.34,13,0
4510,11.8,1.293,1.225,10,0
4511,10.3,0.731,0.842,5,0
4512,240.2,0.024,0.059,1,1
4513,150.3,0.044,0.077,1,1
4514,282.2,0.031,0.025,2,1
4515,275.2,0.016,0.031,2,1
4516,14.9,2.732,1.993,12,0
4517,9.1,1.344,1.627,8,0
4518,6.2,1.055,1.797,7,0
4519,8.2,2.733,2.212,9,0
4520,3.3,2.23,2.218,14,0
4521,8.0,0.763,0.827,13,0
4522,10.3,1.52,1.709,12,0
4523,19.2,2.185,1.905,3,0
4524,7.6,1.936,0.706,5,0
4525,18.2,2.046,2.17,13,0
4526,63.1,0.044,0.01,2,1
4527,5.4,2.495,2.078,8,0
4528,82.0,0.06,0.026,1,1
4529,14.1,2.271,1.958,9,0
4530,2.8,2.978,0.711,12,0
4531,6.0,1.475,1.196,12,0
4532,10.2,2.478,0.701,5,0
4533,8.0,1.115,0.969,10,0
4534,14.8,1.205,2.467,9,0
4535,11.2,2.837,0.626,5,0
4536,4.9,0.565,1.254,11,0
4537,18.1,1.044,1.822,12,0
4538,7.3,1.707,0.599,7,0
4539,15.2,1.505,0.629,4,0
4540,16.0,2.073,0.701,11,0
4541,146.8,0.014,0.039,2,1
4542,11.0,0.676,2.31,10,0
4543,13.1,1.423,2.135,3,0
4544,282.3,0.072,0.042,1,1
4545,14.2,1.905,1.614,9,0
4546,10.3,2.004,2.419,8,0
4547,9.9,1.872,1.04,14,0
4548,17.4,1.114,1.285,11,0
4549,2.9,2.411,1.232,10,0
4550,261.1,0.056,0.029,2,1
4551,17.3,0.996,2.142,6,0
4552,11.1,2.348,0.452,10,0
4553,10.8,1.199,1.933,14,0
4554,8.5,1.734,1.255,8,0
4555,19.9,1.318,0.413,11,0
4556,4.0,1.767,1.009,12,0
4557,12.6,1.367,1.127,3,0
4558,14.3,2.986,2.426,8,0
4559,18.8,1.394,1.788,12,0
4560,16.0,2.068,1.542,12,0
4561,61.9,0.046,0.021,1,1
4562,4.1,2.095,1.221,14,0
4563,8.7,1.915,0.475,5,0
4564,4.5,1.923,2.0,11,0
4565,17.9,1.741,0.742,7,0
4566,15.5,2.519,1.648,7,0
4567,15.6,0.626,1.869,3,0
4568,13.7,2.713,1.17,12,0
4569,178.1,0.038,0.049,1,1
4570,4.7,2.622,2.005,14,0
4571,7.9,0.526,0.787,4,0
4572,230.1,0.038,0.039,1,1
4573,119.0,0.033,0.04,2,1
4574,230.6,0.018,0.073,1,1
4575,14.6,1.541,0.741,9,0
4576,14.5,2.203,1.001,12,0
4577,10.3,2.07,2.359,14,0
4578,4.4,0.908,1.151,4,0
4579,7.7,1.787,0.626,14,0
4580,7.8,1.193,0.574,7,0
4581,142.4,0.016,0.049,1,1
4582,4.0,2.345,0.668,11,0
4583,118.5,0.032,0.037,2,1
4584,15.7,1.789,1.13,4,0
4585,5.4,2.044,2.167,5,0
4586,14.9,1.238,2.25,7,0
4587,14.0,2.883,1.394,7,0
4588,15.5,1.801,2.266,10,0
4589,5.4,0.956,1.346,9,0
4590,148.1,0.057,0.028,2,1
4591,6.3,1.854,0.741,7,0
4592,8.6,1.438,0.51,10,0
4593,16.3,0.981,0.736,7,0
4594,15.3,0.577,0.929,4,0
4595,18.7,1.917,1.977,12,0
4596,3.1,1.997,0.764,4,0
4597,2.2,0.855,0.674,3,0
4598,14.6,2.004,2.348,8,0
4599,7.0,2.88,1.846,3,0
4600,8.0,2.946,1.394,10,0
4601,11.8,2.721,0.599,3,0
4602,3.8,2.518,2.189,10,0
4603,13.6,1.023,0.627,8,0
4604,7.9,0.891,1.683,11,0
4605,13.4,1.612,1.802,5,0
4606,287.7,0.03,0.04,1,1
4607,5.1,2.627,2.314,4,0
4608,276.3,0.067,0.07,2,1
4609,278.5,0.037,0.078,1,1
4610,18.6,2.119,1.563,3,0
4611,5.7,1.614,1.684,7,0
4612,12.9,1.635,2.472,10,0
4613,9.3,1.063,1.624,12,0
4614,15.9,2.967,2.074,5,0
4615,12.9,1.688,0.722,8,0
4616,10.9,1.832,2.1,6,0
4617,279.3,0.054,0.036,1,1
4618,8.8,1.785,2.433,4,0
4619,6.0,1.138,2.365,7,0
4620,12.9,1.006,0.849,8,0
4621,13.2,1.189,1.376,13,0
4622,9.9,0.507,2.314,10,0
4623,94.6,0.04,0.025,1,1
4624,19.3,1.469,1.374,11,0
4625,15.2,2.747,0.629,9,0
4626,4.0,0.602,1.139,12,0
4627,274.0,0.045,0.074,1,1
4628,19.6,2.715,2.032,12,0
4629,15.1,0.817,1.339,4,0
4630,18.5,0.505,0.517,10,0
4631,7.5,0.947,1.73,4,0
4632,15.4,2.56,2.335,4,0
4633,14.9,2.507,1.442,11,0
4634,7.3,1.35,2.35,6,0
4635,11.9,2.17,1.144,9,0
4636,103.1,0.028,0.02,2,1
4637,10.7,2.762,2.051,6,0
4638,16.9,0.641,2.42,7,0
4639,17.0,2.533,2.061,3,0
4640,17.3,0.926,1.075,12,0
4641,259.5,0.046,0.031,2,1
4642,10.8,0.98,1.806,12,0
4643,8.9,2.257,0.74,12,0
4644,17.0,2.196,0.497,5,0
4645,10.8,1.87,1.168,8,0
4646,6.4,2.245,2.052,14,0
4647,11.1,2.099,1.698,3,0
4648,4.6,2.441,1.507,14,0
4649,185.5,0.018,0.024,1,1
4650,8.0,1.572,1.315,6,0
4651,6.7,0.879,0.731,11,0
4652,110.0,0.037,0.05,2,1
4653,16.0,2.254,2.483,4,0
4654,16.2,2.228,2.247,4,0
4655,13.2,2.274,1.052,12,0
4656,17.1,1.272,1.646,12,0
4657,15.7,2.156,1.454,9,0
4658,12.8,1.419,0.673,9,0
4659,149.6,0.041,0.039,1,1
4660,5.4,1.358,1.293,4,0
4661,19.0,2.008,1.462,7,0
4662,9.2,2.375,1.76,8,0
4663,11.5,2.766,0.802,8,0
4664,4.2,1.595,0.867,12,0
4665,11.7,1.401,0.804,8,0
4666,158.3,0.059,0.03,1,1
4667,20.0,1.309,0.819,3,0
4668,19.6,2.135,2.345,14,0
4669,19.4,2.832,1.9,6,0
4670,8.3,0.815,2.285,3,0
4671,19.8,1.902,2.182,14,0
4672,10.2,2.744,1.877,5,0
4673,17.3,0.75,0.91,14,0
4674,5.9,1.735,1.692,13,0
4675,11.1,2.663,0.791,13,0
4676,19.4,2.751,0.678,13,0
4677,19.0,1.786,1.728,13,0
4678,233.3,0.038,0.064,2,1
4679,16.4,0.764,0.729,4,0
4680,5.2,1.967,1.14,8,0
4681,15.0,0.81,0.539,3,0
4682,13.1,0.874,1.903,6,0
4683,3.6,2.43,2.474,11,0
4684,4.0,2.377,1.954,5,0
4685,4.0,2.607,2.173,10,0
4686,201.5,0.057,0.056,2,1
4687,4.6,0.995,0.601,4,0
4688,10.4,2.582,1.926,7,0
4689,8.4,2.303,0.939,8,0
4690,254.2,0.022,0.08,2,1
4691,14.7,2.974,1.877,8,0
4692,14.3,2.661,2.3,7,0
4693,11.3,1.801,1.421,9,0
4694,10.4,1.277,2.419,7,0
4695,9.2,1.924,1.492,7,0
4696,149.2,0.012,0.032,1,1
4697,8.0,1.338,1.489,9,0
4698,235.9,0.045,0.069,2,1
4699,15.4,0.732,1.53,12,0
4700,8.5,2.448,1.97,9,0
4701,17.2,0.58,1.551,10,0
4702,7.9,1.745,1.547,7,0
4703,248.2,0.043,0.031,2,1
4704,65.8,0.057,0.011,2,1
4705,143.9,0.032,0.021,2,1
4706,8.2,0.898,1.326,8,0
4707,16.7,2.737,2.1,13,0
4708,19.4,2.581,2.141,11,0
4709,271.5,0.012,0.046,1,1
4710,16.8,2.687,1.561,8,0
4711,14.6,2.341,1.274,8,0
4712,19.4,0.962,1.599,10,0
4713,16.6,1.256,1.76,8,0
4714,226.2,0.061,0.067,2,1
4715,14.8,1.972,2.33,13,0
4716,11.6,2.455,2.364,3,0
4717,2.3,1.067,0.621,3,0
4718,6.5,0.821,1.876,12,0
4719,18.6,1.707,0.47,14,0
4720,18.7,0.895,0.498,4,0
4721,154.6,0.076,0.014,2,1
4722,95.7,0.038,0.068,1,1
4723,16.5,2.353,1.082,5,0
4724,2.2,0.659,1.807,6,0
4725,74.2,0.053,0.06,1,1
4726,2.6,0.5,2.229,12,0
4727,3.7,1.314,0.443,9,0
4728,5.9,2.199,2.118,11,0
4729,11.1,0.613,2.192,10,0
4730,17.3,0.708,1.651,8,0
4731,107.3,0.048,0.012,1,1
4732,13.1,1.954,0.633,6,0
4733,18.7,2.74,0.903,13,0
4734,11.0,1.889,1.43,8,0
4735,18.0,2.009,2.217,9,0
4736,10.2,1.365,2.087,4,0
4737,7.0,0.547,1.441,14,0
4738,18.5,0.554,2.05,3,0
4739,9.0,2.721,2.008,12,0
4740,111.2,0.05,0.017,1,1
4741,142.7,0.071,0.015,1,1
4742,13.9,0.911,1.131,13,0
4743,19.9,2.187,0.745,9,0
4744,2.5,2.872,0.415,11,0
4745,18.2,1.406,0.569,11,0
4746,2.1,2.336,1.995,14,0
4747,8.6,1.377,0.47,5,0
4748,5.0,1.262,1.24,3,0
4749,94.2,0.062,0.058,1,1
4750,86.5,0.064,0.049,2,1
4751,261.0,0.016,0.035,1,1
4752,7.3,1.208,0.977,3,0
4753,4.4,2.997,1.748,14,0
4754,15.9,1.318,1.447,7,0
4755,5.9,1.557,1.71,4,0
4756,6.0,2.975,1.315,4,0
4757,7.0,1.423,1.515,7,0
4758,12.6,1.415,2.476,9,0
4759,112.4,0.02,0.016,2,1
4760,2.3,1.28,0.855,7,0
4761,6.4,1.084,1.342,5,0
4762,9.8,1.558,1.501,11,0
4763,8.0,2.252,0.58,10,0
4764,17.9,0.608,2.093,13,0
4765,16.2,1.435,1.286,5,0
4766,13.3,1.366,1.268,9,0
4767,8.1,1.112,1.784,5,0
4768,14.6,2.136,2.024,13,0
4769,17.2,1.225,2.47,8,0
4770,12.7,2.017,0.764,5,0
4771,190.4,0.056,0.038,2,1
4772,15.5,1.043,0.753,5,0
4773,12.3,1.166,2.25,7,0
4774,7.6,0.927,1.552,5,0
4775,99.8,0.048,0.058,2,1
4776,172.9,0.064,0.017,2,1
4777,16.0,2.182,1.555,11,0
4778,16.5,0.915,0.648,8,0
4779,119.2,0.017,0.07,1,1
4780,10.5,2.955,0.476,6,0
4781,5.5,0.686,2.184,12,0
4782,3.8,1.726,0.438,6,0
4783,71.7,0.05,0.014,2,1
4784,295.5,0.044,0.053,2,1
4785,13.7,2.446,0.416,13,0
4786,4.6,2.949,0.938,5,0
4787,18.8,0.721,1.559,13,0
4788,19.8,2.556,0.558,6,0
4789,164.5,0.07,0.023,2,1
4790,12.7,0.86,1.811,6,0
4791,16.0,1.733,2.436,3,0
4792,15.3,0.679,2.289,3,0
4793,19.4,1.805,1.59,11,0
4794,4.1,0.548,2.066,5,0
4795,12.5,2.322,1.164,7,0
4796,14.5,1.72,1.63,4,0
4797,18.0,1.647,1.247,3,0
4798,17.7,0.99,1.108,9,0
4799,19.6,1.403,1.928,12,0
4800,11.2,0.955,1.023,11,0
4801,148.3,0.023,0.016,1,1
4802,99.8,0.034,0.035,1,1
4803,173.8,0.021,0.057,2,1
4804,6.6,1.199,0.758,5,0
4805,208.8,0.042,0.018,1,1
4806,19.7,1.851,2.265,5,0
4807,6.6,1.559,0.432,7,0
4808,3.0,2.183,2.391,10,0
4809,16.7,1.539,2.288,10,0
4810,13.2,2.553,1.277,7,0
4811,19.3,2.324,1.771,13,0
4812,6.5,1.852,2.481,3,0
4813,3.3,2.693,1.565,12,0
4814,10.9,2.572,0.603,4,0
4815,3.5,1.83,2.193,10,0
4816,6.7,0.671,0.682,12,0
4817,126.2,0.072,0.043,2,1
4818,170.1,0.057,0.038,1,1
4819,3.9,1.85,0.938,9,0
4820,19.2,2.118,1.965,11,0
4821,7.0,2.112,1.34,14,0
4822,109.3,0.062,0.04,2,1
4823,18.2,2.198,0.888,13,0
4824,14.2,0.773,1.281,8,0
4825,13.1,0.979,1.068,8,0
4826,14.7,2.076,0.923,9,0
4827,16.9,1.52,1.06,3,0
4828,181.9,0.017,0.076,1,1
4829,13.6,0.812,2.406,11,0
4830,18.0,0.979,1.52,3,0
4831,246.8,0.042,0.034,1,1
4832,65.1,0.069,0.079,2,1
4833,17.8,1.166,2.492,4,0
4834,11.7,1.521,1.773,12,0
4835,18.3,0.587,1.877,13,0
4836,179.5,0.069,0.048,2,1
4837,9.2,0.737,1.39,7,0
4838,149.8,0.079,0.069,2,1
4839,6.5,2.659,1.839,13,0
4840,18.9,1.151,1.123,12,0
4841,19.2,0.585,1.971,9,0
4842,17.9,2.272,0.848,10,0
4843,12.1,2.638,1.247,4,0
4844,13.6,0.845,1.389,12,0
4845,17.7,1.464,0.75,13,0
4846,68.5,0.047,0.034,2,1
4847,13.3,0.766,1.066,14,0
4848,19.7,2.12,1.544,8,0
4849,14.3,2.919,1.771,13,0
4850,19.6,2.195,1.293,8,0
4851,3.0,2.962,1.451,8,0
4852,4.5,1.586,1.541,3,0
4853,285.1,0.01,0.016,1,1
4854,8.9,1.013,0.59,4,0
4855,16.1,0.795,1.251,4,0
4856,4.9,2.256,0.829,7,0
4857,19.6,1.429,1.521,8,0
4858,7.7,1.294,1.992,3,0
4859,115.0,0.073,0.016,2,1
4860,191.2,0.077,0.05,2,1
4861,12.4,1.931,0.836,3,0
4862,3.1,1.249,0.478,9,0
4863,4.7,2.459,1.295,14,0
4864,15.4,1.281,1.309,3,0
4865,5.4,1.837,0.897,11,0
4866,6.2,0.558,2.005,5,0
4867,16.3,2.479,1.212,14,0
4868,3.7,2.051,1.806,12,0
4869,9.9,0.981,1.744,4,0
4870,2.4,1.038,1.67,8,0
4871,8.2,1.156,2.307,4,0
4872,14.6,1.941,0.433,7,0
4873,143.2,0.075,0.075,2,1
4874,18.0,1.185,1.916,11,0
4875,18.4,2.235,1.142,14,0
4876,3.9,2.723,2.472,6,0
4877,117.8,0.064,0.015,1,1
4878,7.4,1.543,0.785,9,0
4879,3.5,1.984,1.635,9,0
4880,2.1,1.966,0.987,3,0
4881,9.4,0.549,1.115,8,0
4882,181.8,0.025,0.058,2,1
4883,8.0,0.655,0.455,12,0
4884,222.3,0.02,0.049,2,1
4885,246.4,0.059,0.056,2,1
4886,208.5,0.02,0.025,1,1
4887,15.2,1.333,0.92,8,0
4888,18.9,1.325,0.683,10,0
4889,3.7,2.55,0.472,7,0
4890,7.5,0.987,2.474,11,0
4891,10.3,1.871,1.787,14,0
4892,11.0,2.457,2.032,6,0
4893,11.8,2.574,0.537,8,0
4894,7.4,2.166,0.431,13,0
4895,181.6,0.077,0.015,2,1
4896,13.6,2.558,1.92,5,0
4897,244.3,0.041,0.015,1,1
4898,4.0,2.261,1.214,5,0
4899,179.4,0.012,0.027,1,1
4900,8.4,0.608,0.721,9,0
4901,10.8,2.238,1.983,11,0
4902,293.6,0.021,0.025,2,1
4903,10.6,2.434,1.081,5,0
4904,181.7,0.03,0.019,2,1
4905,9.9,1.862,0.4,3,0
4906,16.8,1.261,2.009,7,0
4907,16.0,2.194,2.288,13,0
4908,11.2,2.28,0.508,13,0
4909,6.5,2.188,1.642,12,0
4910,10.4,2.867,1.258,12,0
4911,12.1,1.418,0.565,7,0
4912,20.0,0.599,1.833,4,0
4913,129.3,0.059,0.029,2,1
4914,161.6,0.062,0.047,2,1
4915,10.8,2.243,2.108,3,0
4916,8.4,2.683,1.003,13,0
4917,16.6,1.275,1.822,6,0
4918,10.9,2.576,1.961,8,0
4919,172.5,0.025,0.076,1,1
4920,120.9,0.055,0.075,1,1
4921,3.2,0.675,1.114,7,0
4922,14.3,2.138,1.899,13,0
4923,2.8,2.193,1.983,12,0
4924,89.7,0.012,0.029,1,1
4925,8.4,2.218,0.67,5,0
4926,15.3,2.808,0.979,6,0
4927,10.9,2.335,0.892,13,0
4928,2.5,2.903,1.489,4,0
4929,13.1,1.622,0.949,9,0
4930,157.8,0.017,0.015,1,1
4931,18.6,1.159,1.005,8,0
4932,11.0,2.964,0.402,11,0
4933,14.8,0.638,1.163,9,0
4934,5.9,1.397,1.674,6,0
4935,15.7,1.244,2.025,4,0
4936,15.0,1.466,0.46,14,0
4937,18.3,2.794,0.942,9,0
4938,2.6,1.42,2.469,10,0
4939,10.1,2.792,0.95,5,0
4940,14.2,1.558,2.032,13,0
4941,274.3,0.047,0.08,2,1
4942,9.4,1.804,0.657,3,0
4943,19.0,1.278,1.751,13,0
4944,9.8,1.623,2.429,10,0
4945,19.7,1.561,2.262,9,0
4946,3.0,1.15,1.85,8,0
4947,14.9,1.224,1.476,13,0
4948,12.5,0.966,1.071,5,0
4949,11.0,1.34,1.15,6,0
4950,19.5,2.061,1.127,10,0
4951,113.9,0.059,0.043,2,1
4952,140.5,0.074,0.078,1,1
4953,14.4,2.967,1.194,3,0
4954,6.7,1.443,1.307,6,0
4955,239.4,0.041,0.048,2,1
4956,70.6,0.018,0.072,2,1
4957,16.7,1.481,0.969,8,0
4958,9.0,2.317,1.447,4,0
4959,17.3,1.044,1.997,7,0
4960,13.5,0.955,1.596,3,0
4961,4.5,1.441,1.208,8,0
4962,13.7,2.547,1.797,6,0
4963,5.4,2.059,1.798,14,0
4964,9.4,2.894,0.921,12,0
4965,5.1,2.761,0.618,11,0
4966,2.4,0.878,2.087,14,0
4967,5.8,0.606,1.513,5,0
4968,11.7,1.498,0.771,5,0
4969,10.7,1.805,0.95,11,0
4970,256.3,0.075,0.041,1,1
4971,6.5,0.835,1.772,9,0
4972,14.3,0.812,2.385,12,0
4973,14.7,0.617,1.376,4,0
4974,8.4,2.627,0.51,3,0
4975,230.1,0.041,0.054,2,1
4976,13.6,0.789,0.935,3,0
4977,14.8,1.033,1.08,8,0
4978,7.0,0.725,0.813,6,0
4979,2.0,2.694,1.049,4,0
4980,187.4,0.045,0.048,1,1
4981,102.4,0.07,0.025,2,1
4982,4.2,1.259,0.629,9,0
4983,8.7,1.407,1.632,12,0
4984,73.2,0.051,0.063,2,1
4985,107.9,0.031,0.014,2,1
4986,17.5,1.761,2.205,12,0
4987,4.5,2.878,0.532,8,0
4988,9.7,0.75,2.22,10,0
4989,240.4,0.048,0.035,2,1
4990,9.0,1.336,0.724,13,0
4991,2.3,1.444,0.634,10,0
4992,18.2,2.272,0.782,8,0
4993,11.5,2.823,2.087,10,0
4994,17.3,2.291,1.841,10,0
4995,3.1,2.44,1.843,3,0
4996,6.1,2.377,2.336,10,0
4997,6.7,1.302,1.223,9,0
4998,9.0,2.392,0.407,10,0
4999,16.5,2.461,1.744,10,0
5000,9.0,1.834,2.223,14,0
5001,283.4,0.054,0.071,1,1
5002,3.2,2.399,1.164,13,0
5003,3.4,2.543,2.127,12,0
5004,15.7,1.343,2.183,8,0
5005,10.0,2.504,0.703,11,0
5006,15.1,2.536,1.726,5,0
5007,14.3,1.085,0.764,12,0
5008,4.4,2.292,1.338,3,0
5009,4.6,0.966,2.246,11,0
5010,15.6,0.733,2.058,12,0
5011,15.0,1.936,1.598,12,0
5012,8.8,2.772,2.098,4,0
5013,3.4,0.589,0.721,5,0
5014,2.2,2.566,0.809,13,0
5015,7.2,1.766,0.839,6,0
5016,234.5,0.072,0.045,1,1
5017,181.9,0.026,0.015,2,1
5018,9.6,2.688,1.582,11,0
5019,4.2,2.422,2.412,5,0
5020,3.9,2.607,1.929,4,0
5021,18.1,0.94,1.584,4,0
5022,12.5,1.26,1.684,13,0
5023,287.7,0.049,0.025,1,1
5024,8.2,2.356,0.589,14,0
5025,257.1,0.074,0.018,1,1
5026,5.7,0.956,0.959,4,0
5027,13.1,2.697,2.279,10,0
5028,4.3,2.265,2.384,6,0
5029,2.0,2.688,1.148,8,0
5030,18.8,0.848,2.34,7,0
5031,12.0,1.497,1.548,7,0
5032,18.7,1.208,1.394,12,0
5033,214.0,0.013,0.029,2,1
5034,7.9,1.211,1.547,9,0
5035,59.5,0.024,0.022,2,1
5036,121.9,0.034,0.06,2,1
5037,12.2,1.916,0.427,6,0
5038,18.7,1.458,1.718,4,0
5039,2.5,0.616,0.554,7,0
5040,127.1,0.057,0.056,2,1
5041,7.9,2.323,1.707,3,0
5042,5.2,2.586,1.361,8,0
5043,11.2,1.714,1.891,4,0
5044,11.1,2.922,2.485,4,0
5045,4.5,2.785,0.917,10,0
5046,5.6,1.878,1.57,8,0
5047,9.3,1.612,2.17,8,0
5048,136.8,0.069,0.019,2,1
5049,7.7,2.277,0.827,11,0
5050,147.3,0.024,0.041,1,1
5051,2.1,2.844,1.56,4,0
5052,284.8,0.027,0.031,2,1
5053,19.0,2.982,1.256,8,0
5054,10.7,2.635,1.492,11,0
5055,19.9,2.884,1.288,11,0
5056,235.5,0.068,0.034,2,1
5057,3.2,0.873,2.02,11,0
5058,223.0,0.02,0.05,2,1
5059,156.6,0.028,0.073,2,1
5060,13.3,1.029,1.881,3,0
5061,17.2,2.412,1.566,13,0
5062,18.2,1.955,2.228,10,0
5063,10.1,0.774,1.41,10,0
5064,134.4,0.061,0.073,1,1
5065,5.4,2.828,0.67,10,0
5066,3.2,1.766,2.156,12,0
5067,79.9,0.022,0.039,2,1
5068,9.4,0.572,1.91,4,0
5069,163.4,0.068,0.038,1,1
5070,5.0,2.867,0.402,14,0
5071,10.0,1.749,1.241,13,0
5072,8.1,1.344,0.71,8,0
5073,10.4,2.117,1.237,5,0
5074,9.7,2.791,1.075,3,0
5075,13.6,0.942,0.825,14,0
5076,18.9,1.509,0.66,7,0
5077,3.9,0.891,1.93,6,0
5078,3.8,1.742,1.985,6,0
5079,17.4,1.851,0.956,11,0
5080,11.1,2.861,1.44,8,0
5081,15.8,1.531,1.375,10,0
5082,5.9,1.917,1.146,11,0
5083,16.9,2.713,0.983,3,0
5084,18.6,1.304,0.791,9,0
5085,13.4,2.185,2.233,9,0
5086,3.9,2.393,2.15,11,0
5087,18.1,1.326,1.276,3,0
5088,101.3,0.044,0.046,2,1
5089,15.5,1.757,1.446,8,0
5090,2.7,1.392,0.579,6,0
5091,16.4,1.166,2.127,7,0
5092,4.5,2.934,0.86,7,0
5093,147.8,0.041,0.043,1,1
5094,12.4,2.641,1.508,3,0
5095,6.8,0.988,1.85,3,0
5096,13.9,2.849,1.39,9,0
5097,12.9,2.486,1.875,5,0
5098,3.9,2.522,0.469,7,0
5099,13.8,1.474,0.486,10,0
5100,18.6,1.714,2.282,7,0
5101,4.9,1.983,1.974,12,0
5102,12.7,2.474,2.14,11,0
5103,8.2,2.623,1.359,6,0
5104,10.3,0.695,1.365,9,0
5105,7.2,2.76,1.521,10,0
5106,89.1,0.019,0.014,2,1
5107,2.5,1.982,1.94,6,0
5108,136.0,0.058,0.051,1,1
5109,13.2,2.546,2.305,12,0
5110,11.0,1.871,1.486,13,0
5111,8.9,2.543,1.271,12,0
5112,11.7,2.537,2.145,12,0
5113,8.8,0.717,1.981,6,0
5114,8.5,2.018,2.221,12,0
5115,10.4,1.708,1.777,14,0
5116,60.7,0.072,0.051,1,1
5117,5.2,1.242,0.587,10,0
5118,12.0,1.015,1.827,6,0
5119,17.2,2.743,0.586,7,0
5120,4.8,0.872,1.973,7,0
5121,2.6,2.216,1.72,7,0
5122,6.4,1.25,0.434,5,0
5123,51.5,0.058,0.042,2,1
5124,16.9,2.041,0.707,3,0
5125,12.7,1.543,0.699,13,0
5126,18.7,2.937,0.716,5,0
5127,267.5,0.032,0.039,2,1
5128,19.7,1.478,0.643,9,0
5129,7.3,1.576,0.664,4,0
5130,6.3,2.078,0.938,13,0
5131,13.5,1.518,0.402,10,0
5132,8.8,0.743,0.979,13,0
5133,13.3,2.869,1.699,10,0
5134,7.5,1.54,1.663,9,0
5135,13.1,1.357,2.436,14,0
5136,7.0,1.617,0.651,13,0
5137,2.9,1.041,2.218,8,0
5138,18.4,0.751,1.221,4,0
5139,17.9,0.871,1.213,6,0
5140,19.5,0.917,1.133,3,0
5141,14.9,0.994,0.662,9,0
5142,14.3,1.55,1.405,13,0
5143,210.3,0.059,0.076,1,1
5144,196.9,0.046,0.052,2,1
5145,5.4,0.5,2.422,11,0
5146,7.2,2.802,2.049,7,0
5147,18.0,2.557,1.708,7,0
5148,5.1,2.91,1.445,6,0
5149,18.6,1.4,2.237,3,0
5150,11.4,2.162,1.953,6,0
5151,14.9,0.92,0.739,11,0
5152,4.0,2.543,1.833,11,0
5153,6.8,0.903,1.305,9,0
5154,19.3,1.315,1.651,6,0
5155,6.8,1.727,2.287,11,0
5156,7.3,1.986,1.77,7,0
5157,178.4,0.07,0.067,2,1
5158,231.7,0.042,0.077,2,1
5159,6.2,1.554,0.671,12,0
5160,13.6,2.807,0.424,4,0
5161,10.2,2.681,1.207,11,0
5162,12.0,1.977,2.217,8,0
5163,4.2,1.931,0.883,7,0
5164,16.4,0.779,1.852,13,0
5165,16.1,1.001,1.4,12,0
5166,2.4,1.132,1.967,14,0
5167,8.9,1.72,0.746,10,0
5168,3.2,2.328,0.902,4,0
5169,16.3,1.652,0.909,7,0
5170,15.3,0.815,1.552,12,0
5171,234.0,0.027,0.067,1,1
5172,6.3,0.907,2.105,6,0
5173,10.2,2.378,1.128,12,0
5174,283.8,0.017,0.076,1,1
5175,111.1,0.03,0.063,1,1
5176,11.4,2.234,1.675,11,0
5177,246.3,0.049,0.022,1,1
5178,14.9,0.69,2.144,14,0
5179,11.8,1.908,0.426,9,0
5180,16.9,0.636,0.939,11,0
5181,6.9,1.969,1.214,5,0
5182,18.3,2.384,0.812,5,0
5183,20.0,1.323,1.668,12,0
5184,18.5,1.721,1.572,9,0
5185,16.0,2.822,1.254,4,0
5186,16.6,1.678,1.018,12,0
5187,12.3,2.991,1.311,5,0
5188,5.4,0.893,1.012,8,0
5189,14.2,2.272,0.865,11,0
5190,14.8,2.132,1.138,6,0
5191,297.8,0.022,0.026,1,1
5192,11.7,0.731,1.762,8,0
5193,6.9,1.201,1.024,5,0
5194,14.3,0.83,2.39,4,0
5195,19.6,2.833,0.95,6,0
5196,5.2,1.567,1.895,8,0
5197,7.9,2.775,0.571,6,0
5198,11.8,1.236,1.796,14,0
5199,5.1,0.816,1.366,10,0
5200,57.3,0.013,0.024,1,1
5201,8.1,1.993,0.787,10,0
5202,17.6,2.613,1.31,9,0
5203,143.5,0.041,0.033,2,1
5204,9.7,2.787,2.011,12,0
5205,15.7,1.111,0.899,4,0
5206,19.2,2.234,1.14,12,0
5207,19.7,2.339,0.408,7,0
5208,9.6,1.185,0.589,6,0
5209,19.1,0.567,0.666,6,0
5210,2.6,1.413,1.017,6,0
5211,15.4,0.613,1.994,9,0
5212,13.6,2.752,1.472,5,0
5213,6.5,2.884,2.064,4,0
5214,11.1,2.338,1.985,7,0
5215,159.0,0.034,0.035,1,1
5216,17.7,1.102,1.45,10,0
5217,8.4,0.685,2.356,13,0
5218,13.3,2.505,1.595,5,0
5219,4.9,1.898,1.414,6,0
5220,5.7,2.204,2.225,6,0
5221,19.9,2.449,0.55,6,0
5222,255.5,0.039,0.067,2,1
5223,53.4,0.042,0.035,2,1
5224,7.3,2.488,2.122,9,0
5225,5.0,1.634,2.065,6,0
5226,11.1,2.567,1.458,12,0
5227,10.9,1.594,1.788,10,0
5228,5.1,1.043,2.023,7,0
5229,15.2,0.928,1.415,4,0
5230,8.5,2.36,2.303,11,0
